"STRING_id","Degree","gene"
"9606.ENSP00000251496",92,"NCAPG"
"9606.ENSP00000256442",92,"CCNB1"
"9606.ENSP00000274026",92,"CCNA2"
"9606.ENSP00000287598",92,"BUB1B"
"9606.ENSP00000356379",92,"ASPM"
"9606.ENSP00000378356",92,"KIF20A"
"9606.ENSP00000378699",92,"CDK1"
"9606.ENSP00000247191",90,"DLGAP5"
"9606.ENSP00000260731",90,"KIF11"
"9606.ENSP00000296509",90,"MAD2L1"
"9606.ENSP00000298048",90,"MELK"
"9606.ENSP00000300403",90,"TPX2"
"9606.ENSP00000301633",90,"BIRC5"
"9606.ENSP00000302530",90,"BUB1"
"9606.ENSP00000353770",90,"RRM2"
"9606.ENSP00000355922",90,"CENPF"
"9606.ENSP00000357643",90,"MKI67"
"9606.ENSP00000360540",90,"CEP55"
"9606.ENSP00000361298",90,"KIF2C"
"9606.ENSP00000361540",90,"CDC20"
"9606.ENSP00000377492",90,"HMMR"
"9606.ENSP00000261597",88,"NDC80"
"9606.ENSP00000300035",88,"PCLAF"
"9606.ENSP00000356319",88,"KIF14"
"9606.ENSP00000363524",88,"KIF4A"
"9606.ENSP00000388648",88,"CHEK1"
"9606.ENSP00000310842",86,"FANCI"
"9606.ENSP00000336868",86,"CENPA"
"9606.ENSP00000342307",86,"FOXM1"
"9606.ENSP00000355966",86,"NEK2"
"9606.ENSP00000376457",86,"ECT2"
"9606.ENSP00000377536",86,"PTTG1"
"9606.ENSP00000412292",86,"DEPDC1"
"9606.ENSP00000281453",84,"CENPU"
"9606.ENSP00000265748",82,"ANLN"
"9606.ENSP00000262105",80,"MCM4"
"9606.ENSP00000315644",80,"TYMS"
"9606.ENSP00000415430",80,"GTSE1"
"9606.ENSP00000306473",78,"SHCBP1"
"9606.ENSP00000335463",78,"KNL1"
"9606.ENSP00000265036",76,"DEPDC1B"
"9606.ENSP00000305480",74,"FEN1"
"9606.ENSP00000379911",70,"CENPK"
"9606.ENSP00000479617",70,"UHRF1"
"9606.ENSP00000301634",64,"TK1"
"9606.ENSP00000262293",58,"PRR11"
"9606.ENSP00000437621",14,"HMGA2"
"9606.ENSP00000258729",10,"IGF2BP3"
"9606.ENSP00000290551",6,"BTG2"
"9606.ENSP00000369154",4,"SMAD9"
"9606.ENSP00000409581",4,"ARRB1"
"9606.ENSP00000216133",2,"CBX7"
"9606.ENSP00000296677",2,"F2RL1"
"9606.ENSP00000301732",2,"ABCA3"
"9606.ENSP00000351059",2,"CX3CR1"
"9606.ENSP00000361366",2,"SFTPD"
